Anno;tipologia;luogo di svolgimento: in Istituto;luogo di svolgimento: Roma, fuori l'Istituto;luogo di svolgimento: in Italia;luogo di svolgimento: all'estero;incidenza nazionale;incidenza internazionale;durata in giorni;evento in lingua italiana;evento in lingua straniera o in modalità multilingue;diffusione su canale youtube o su altri media;evento cofinanziato o organizzato in modalità di convenzione
2025;presentazione di libro;si;0;0;0;0;si ;1;0;si;si;0
2025;convegno;si;0;0;0;0;si ;2;0;si;si;0
2025;convegno;si;0;0;0;si;0;1;si;0;si;0
2025;convegno di studio;si;0;0;0;si;0;1;si;0;si;0
2025;convegno;si;0;0;0;si;0;1;si;0;si;0
2025;presentazione di libro;si;0;0;0;si;0;1;si;0;si;0
2025;covegno di studi;si;0;0;0;0;si ;1;0;si;si;0
2025;presentazione di libro;0;0;si;0;0;si ;1;si;0;si;si
2025;convegno;0;0;si;0;0;si ;1;0;si;si;0
2025;convegno ;si;0;0;0;si;0;1;si;0;si;0
2023;tavola rotonda;sì;0;0;0;0;sì;1;0;sì;si;sì
2023;convegno internazionale;0;sì;0;0;0;sì;2;0;sì;0;0
2022;convegno di studio;0;sì;0;0;sì;0;2;sì;0;0;sì
2022;convegno internazionale;0;sì;0;0;0;sì;2;0;sì;0;sì
2022;seminario di studio;sì;0;0;0;sì;0;1;sì;0;0;0
2022;tavola rotonda;sì;0;0;0;sì;0;1;sì;0;0;0
2022;lezione;sì;0;0;0;sì;0;1;sì;0;0;0
2022;convegno internazionale;0;sì;0;0;0;sì;2;0;sì;0;0
2022;seminario di studio;sì;0;0;0;sì;0;1;sì;0;0;0
2022;seminario di studio;sì;0;0;0;sì;0;1;sì;0;0;0
2022;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;;sì;sì
2022;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;;sì;sì
2022;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;;sì;sì
2022;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;;sì;sì
2022;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;;sì;sì
2022;presentazione di libro;0;0;sì, Scuola Normale, Pisa;0;0;sì;1;sì;;sì;sì
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
2021;convegno internazionale;sì;0;0;0;0;sì;2;0;sì;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;0;sì;sì;0
2021;convegno internazionale;0;0;sì, Milano Pavia;0;0;sì;3;0;sì;sì;sì
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;0;sì;sì;0
2021;tavola rotondasì;;0;0;0;0;sì;1;sì;0;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
2021;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;0;sì;sì
2021;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;0;si;sì
2021;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;0;sì;sì
2021;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;0;sì;sì
2021;seminario di studio;0;0;sì, Univ. Parma;0;0;sì;1;sì;0;sì;sì
2021;presentazione di libro;sì;0;0;0;0;sì;1;0;sì;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
2021;seminario di studio;sì;0;0;0;0;sì;1;sì;0;sì;0
